,mode,index_col,avC,avP,sdC,sdP,avR,maxC,maxP,stdCR,stdCP,AvRR
8,DailyRinse,8,1.635208333,334.5833333,2.540731115,593.3869395,639.2187102,0.81,121,0.198024729,30.76608074,983.7676761
9,DailyRinse,9,1.54562963,310.9851852,2.416481699,564.2061105,624.000115,1.83,284,0.605761703,97.14986645,502.2513535
10,DailySpin,10,1.416133333,283.0633333,2.325229024,541.7289607,686.5261468,0.51,75,0.135058948,20.53874947,1249.260433
11,DailySpin,11,1.439909091,280.8545455,2.223137311,517.0786863,638.5958521,2.2,344,0.510710684,83.28210609,159.2929044
0,DailyWash,0,2.376333333,517.6666667,3.136262308,735.505753,773.9240517,7.15,1637,3.136262308,735.505753,773.9240517
1,DailyWash,1,2.517,549.32,3.159987245,743.0320245,653.0633978,7.15,1639,3.2651132,770.833288,471.7724171
2,DailyWash,2,3.46975,771.6875,3.347617696,787.1141907,477.3918293,7.14,1632,3.07938382,726.3191162,184.6058817
3,DailyWash,3,3.1257,689.99,3.290655351,774.8044197,470.8918741,7.09,1632,2.708152361,641.4507898,444.8920534
4,DailyWash,4,2.666,581.6583333,3.174421776,747.4283136,533.830434,0.53,57,0.135758105,17.65756137,848.5232337
5,DailyWash,5,2.207933333,473.9066667,2.98253086,702.1196704,577.2531871,0.52,65,0.113796047,15.90781634,750.9441994
6,DailyRinse,6,1.915444444,405.0388889,2.80094005,659.1330124,595.5129842,1.25,188,0.254587564,39.98115936,686.8119697
7,DailyRinse,7,1.744619048,361.847619,2.636178381,620.2369555,620.1661503,1.74,266,0.625914412,98.75541015,768.0851472
8,DailyRinse,8,1.566125,321.8083333,2.511268409,589.7474148,684.1972123,0.87,129,0.210816693,32.36508691,1132.414646
9,DailyRinse,9,1.482851852,299.4074074,2.387011558,560.3780627,664.6442193,1.74,266,0.60144271,95.37020427,508.2202748
10,DailySpin,10,1.360333333,272.8333333,2.294318828,537.5380322,724.2351138,0.65,95,0.151080781,23.60790828,1260.553164
11,DailySpin,11,1.392606061,272.4454545,2.197167947,513.3348905,673.031325,2.69,434,0.613642226,101.708062,160.9934374
0,DailyWash,0,2.636,586.1,3.252425726,774.2837558,672.2417904,7.27,1685,3.252425726,774.2837558,672.2417904
1,DailyWash,1,2.541,563.78,3.200523076,761.9604224,658.010533,7.26,1687,3.199319459,761.760157,636.6636468
2,DailyWash,2,3.512125,794.8125,3.407652852,812.3324301,503.5705809,7.26,1685,3.160571678,755.7921505,246.1706608
3,DailyWash,3,3.3582,757.85,3.383490332,807.0670854,496.5327934,7.21,1677,3.296886689,788.3041759,468.3816432
4,DailyWash,4,2.8595,638.45,3.28336624,783.4654524,549.9335266,0.58,65,0.126715595,18.0189228,816.937193
5,DailyWash,5,2.3632,519.5733333,3.099092597,739.719413,594.8934652,0.6,68,0.115202969,15.73910862,774.7332195
6,DailyRinse,6,2.045611111,443.3944444,2.917556788,696.3638962,618.9001388,1.2,184,0.252186074,40.56561309,738.9335065
7,DailyRinse,7,1.864619048,396.3904762,2.747327905,655.8636148,633.6171867,1.87,291,0.657700977,104.6934716,721.9194741
8,DailyRinse,8,1.671583333,352.0416667,2.620402887,624.573299,693.1844301,0.69,102,0.185908456,29.27821363,1110.155134
9,DailyRinse,9,1.577814815,326.5259259,2.491785173,593.9643616,674.0863043,1.72,266,0.591057984,95.28165145,521.301298
10,DailySpin,10,1.444633333,296.85,2.397561651,570.4345473,745.5482745,0.45,60,0.147662243,21.96970223,1388.706007
11,DailySpin,11,1.459757576,292.6242424,2.293870636,544.8893851,694.4257538,2.63,424,0.633791818,106.5698681,183.2005471
0,DailyWash,0,2.411666667,521.3333333,3.103215333,729.1520977,648.4046723,7.11,1640,3.103215333,729.1520977,648.4046723
1,DailyWash,1,2.3988,521,3.090292001,729.5905198,616.4082395,7.14,1650,3.151144278,749.1955335,568.4135904
2,DailyWash,2,3.405375,761.225,3.358915189,795.1528788,496.3680702,7.21,1664,3.152802967,746.7621881,296.3011214
3,DailyWash,3,2.8749,634.42,3.251352631,770.693223,516.543525,7.11,1643,1.499017573,357.0237498,597.245344
4,DailyWash,4,2.460666667,536.2666667,3.108280276,736.7154421,548.3617259,0.51,65,0.101487619,14.37285453,707.4527303
5,DailyWash,5,2.0488,438.04,2.898497162,687.2874303,572.6944403,0.58,68,0.102342674,14.31597452,670.0252978
6,DailyRinse,6,1.779055556,374.3333333,2.714512147,643.3099725,605.3718485,1.13,169,0.241953021,38.87149474,768.7588897
